,PAY_AMT1,PAY_AMT4,BILL_AMT2,MARRIAGE,AGE,PAY_AMT3,PAY_6,BILL_AMT4,PAY_4,EDUCATION,BILL_AMT6,PAY_2,SEX,BILL_AMT1,PAY_AMT5,PAY_0,PAY_AMT2,PAY_5,BILL_AMT5,PAY_AMT6,PAY_3,BILL_AMT3,LIMIT_BAL,ks,ks_validation1,c
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011937766417144369
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014251026703029977
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08307959103297392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.00017012542798525892
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20245864366395358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0002030917620904735
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30592596402545263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.00024244620170823283
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3966328887527537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0002894266124716752
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47646963542662624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0003455107294592218
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5473020790924694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0004124626382901352
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095135349298676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0004923882631706741
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641746180670821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0005878016072274912
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01230617835238181,0.0,0.0,0.0,0.7020875525354144,0.0,0.0,0.0,0.0,0.010937129571119949,0.0,0.0,0.38789409713031253,0.38789409713031253,0.000701703828670383
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03255408942597116,0.0,0.0,0.0,0.713162183442337,0.0,0.0,0.0,0.0,0.07208819620220197,0.0,0.0,0.38789409713031253,0.38789409713031253,0.0008376776400682924
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02711339837580488,0.0,0.0,0.051130323385105564,0.0,0.0,0.0,0.7221757385180917,0.0,0.0,0.0,0.0,0.11115987598019367,0.0,0.0,0.3915374358412333,0.3915374358412333,0.001
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048337891526009556,0.0,0.0,0.0459610570583266,0.0,0.0,0.0,0.7314325081896716,0.0,0.03514356734313545,0.0,0.0,0.1483239813834467,0.0,0.0,0.4013091964175422,0.4013091964175422,0.001193776641714437
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08327758369827927,0.0,0.0,0.06841587512287918,0.0,0.0,0.0,0.7350528015835074,0.0,0.06470577998083443,0.0,0.0,0.1295970618892258,0.0,0.06211463087096629,0.40626937843200445,0.40626937843200445,0.0014251026703029992
16,0.029733046906800044,0.0,0.0,0.0,0.0,0.0,0.006908889354124218,0.0,0.10794836331838994,0.0,0.0,0.07145945678526214,0.0,0.0,0.0,0.7323550658122201,0.06464012180697169,0.07716647985745444,0.0,0.0,0.1354194561645483,0.0,0.12541226318070364,0.4113956557638171,0.4113956557638171,0.0017012542798525892
17,0.08268429757568675,0.0,0.0,0.0,0.0,0.0,0.02985511897115725,0.0,0.10876615162023509,0.0,0.0,0.05219263239800292,0.0,0.0,0.0,0.7348224197437295,0.10414608757105598,0.10180247195460963,0.0,0.0,0.15518050805271996,0.0,0.17748192561596904,0.41185377234508325,0.41185377234508325,0.002030917620904735
18,0.10511565408516557,0.0,0.0,0.0,0.0,0.07030873890285079,0.06041915149154009,0.0,0.09712501045136303,0.0,0.0,0.04885028576602452,0.0,0.0,0.0,0.7355851231223952,0.12283597596944001,0.1191780919368664,0.0,0.0,0.16404003282369076,0.0,0.21550252904364983,0.41239145369160385,0.41239145369160385,0.0024244620170823282
19,0.11766777448655445,0.0,0.0,0.0,0.0,0.09434270164163078,0.07571797342728581,0.0,0.11961305919866104,0.0,0.0,0.05904635990533496,0.0,0.0,0.0,0.7317197433694684,0.16595963042502637,0.12931146354608658,0.0,0.0,0.14779456448783213,0.0,0.2512758171911259,0.4122166898395176,0.4122166898395176,0.0028942661247167516
20,0.16420548690607034,0.0,0.0,0.0,0.0,0.13159535905543623,0.09561173128498814,0.0,0.10511143404038381,0.0,0.0,0.0366544692898734,0.0,0.0,0.0,0.7343073183773198,0.16516566008347325,0.14527790529655354,0.0,0.0,0.17881733933050992,0.0,0.27795822484935745,0.41059745398942993,0.41059745398942993,0.003455107294592218
21,0.15172434314473027,0.0,0.0,0.0,0.0,0.15675544963333066,0.10998531344665309,0.0,0.12101306851957808,0.0,0.0,0.06083207918343135,0.0,0.0,0.0,0.732074049523566,0.2081590444365182,0.15338770212200797,0.0,0.0,0.14675665294601292,0.0,0.3002362535583296,0.4114722020214404,0.4114722020214404,0.004124626382901352
22,0.19501475834162224,0.02663886626358922,0.0,0.0,0.0,0.1766479473367454,0.13235920599302672,0.0,0.11346771670315943,0.0,0.0,0.03186022992819632,0.0,0.0,0.0,0.7381188975286578,0.19131252633742707,0.15016297495306807,0.0,0.0,0.18433349761507023,0.0,0.3238598197460843,0.4110210512270156,0.4110210512270156,0.004923882631706742
23,0.17379226411362908,0.05003558561134349,0.0,0.0,0.0,0.19515101315117184,0.1508233393259745,0.0,0.13001142398115784,0.0,0.0,0.06324433545024435,0.0,0.0,0.0,0.7313852678560854,0.2225462642304992,0.14147027009679125,0.0,0.0036744814757892785,0.15410410332224656,0.0,0.33894013062623446,0.41087399572703154,0.41087399572703154,0.0058780160722749115
24,0.174523690947328,0.06251828651345256,0.0,0.0,0.0,0.2082305818534203,0.15806571776911718,0.0,0.12577344710581256,0.0,0.0,0.05929273865320835,0.0,0.0,0.0,0.7310549647774255,0.2284138278420135,0.15146495392800846,0.0,0.023273014430257435,0.16002420569997586,0.0,0.3470601487440853,0.4105111556302288,0.4105111556302288,0.00701703828670383
25,0.19590781005482344,0.06605620483700461,0.0,0.0,0.0,0.2258502326020836,0.15620697309748577,0.0,0.10850843700755748,0.0,0.0,0.04577522672092511,0.0,0.0,0.0024674642929177885,0.7355178422750999,0.20934465526512672,0.17187920555343225,0.0,0.04788455800142067,0.18535578156628763,0.0,0.3590835173884023,0.41038453310497935,0.41038453310497935,0.008376776400682925
26,0.1812381811723816,0.0880835404168824,0.0,0.0,0.0,0.21981371549112527,0.17838499665279983,0.0,0.13202093295395684,0.0,0.0,0.060413412608748954,0.0,0.0,0.007403132046510329,0.7343820297301195,0.2315120635113591,0.15453415275879537,0.0,0.0582163985673159,0.16397369901016104,0.0,0.36583798266014095,0.4104344545773424,0.4104344545773424,0.01
27,0.20799255796007135,0.07587643291002838,0.0,0.0,0.0,0.24677282116747637,0.17769609213477375,0.0,0.09268256827779432,0.0,0.0,0.03992715421590759,0.0,0.0,0.02166293794532763,0.7382738533434519,0.20120867332920042,0.1801635753488955,0.0,0.06658947239259355,0.20208010512104205,0.0,0.3716382650196746,0.4103754775820856,0.4103754775820856,0.01193776641714437
28,0.19154450370945106,0.08896009037857464,0.0,0.0,0.0,0.23538778605654856,0.17898976177223255,0.0,0.12826862965496522,0.0,0.0,0.05718510500585771,0.0,0.0,0.030764919492376065,0.736787547283553,0.23523862407493323,0.17430832357238282,0.0,0.07678990499968805,0.1726608748519262,0.0,0.37743025127867025,0.4105094528823342,0.4105094528823342,0.014251026703029992
29,0.18767984693877882,0.12031208851059107,0.0,0.0,0.0,0.22516181248609587,0.1973959996280551,0.0,0.14501546132398982,0.0,0.0,0.0627755537569888,0.0,0.0,0.027399600756124336,0.7339305713127565,0.2443311514148808,0.14930837640355463,0.0,0.07708710810795541,0.1581605223805457,0.0,0.38375840867972966,0.4102599229181507,0.4102599229181507,0.017012542798525893
30,0.19757981985023562,0.11024212101488805,0.0,0.0,0.0,0.23355193433615462,0.19125620663719362,0.0,0.13520714025987685,0.0,0.0,0.055329536766114816,0.0,0.0,0.03883265990290972,0.7376636891810946,0.23492585369818558,0.16301579714930542,0.0,0.0882633187099836,0.17372962887269006,0.0,0.3870285075212108,0.41071827169231157,0.41071827169231157,0.020309176209047368
31,0.2237598932433211,0.11283046795879573,0.0,0.047090739660905205,0.0,0.2309348051928869,0.1945482063235039,0.0,0.12550790599799835,0.0,0.0,0.035093949585025805,0.0,0.0,0.04593518521735972,0.7393247834955841,0.2090531121114634,0.16829347419542484,0.0,0.08518577606255033,0.20167179959314935,0.0,0.39325201350611066,0.41076641301914846,0.41076641301914846,0.024244620170823284
32,0.19510507641986644,0.11737816215836279,0.0,0.22680666435492458,0.0,0.23940995174751895,0.20044217532338568,0.0,0.14114445453272756,0.019123083501711092,0.0,0.06601869379528343,0.08583772175321869,0.0,0.04741142808326151,0.7346115283880319,0.24868587112074847,0.15447493333896536,0.0,0.09229461712859341,0.16884624635346482,-0.030406548293931662,0.39243010167184617,0.41122290425015157,0.41122290425015157,0.028942661247167517
33,0.20579648115429225,0.10244294768081409,0.0,0.3821339964919244,0.0,0.2647921106519258,0.18457334343214865,0.0,0.10693924560348365,0.04441284754256743,0.0,0.051525595248864374,0.19213612266446242,0.0,0.06381655927006655,0.7365683766867116,0.23164445859671356,0.19258049882252457,0.0,0.10409594626030977,0.1919797535256778,-0.10388493358918094,0.3990537455667148,0.4122750476537217,0.4122750476537217,0.03455107294592222
34,0.22792947958434623,0.1352044780961185,0.0,0.4876682544724924,0.0,0.24359978217379022,0.22221480583624775,0.0,0.13581582234549527,0.0888459894068798,0.0,0.03838878330438258,0.29098913524031766,0.0,0.03835977038381434,0.7408403853024795,0.22684500924993595,0.14300191947910793,0.0004940612123799232,0.10539053971293472,0.19848873881125934,-0.1725440355130819,0.3976005583443261,0.4118470387511366,0.4118470387511366,0.04124626382901352
35,0.1985073811537905,0.11926710264719186,0.0,0.6142012609992892,0.0,0.24935339870272022,0.19801083714558704,0.0,0.13176261604430292,0.08342936202914368,0.0,0.06541290943296779,0.3584641258053569,0.0,0.05992761933941213,0.7364957146139384,0.26399659029675315,0.17751911400750162,0.031057636724359586,0.10640503567890258,0.1687290624666118,-0.2358862640204491,0.40480277675512655,0.4129759606052247,0.4129759606052247,0.04923882631706741
36,0.221920580055289,0.10656730813034108,0.0,0.707139320549667,0.0,0.26760135066905444,0.19184035774804228,0.0,0.11553199988605273,0.09685873525495786,0.0,0.04370527778067423,0.42165576030336804,0.0,0.06617684505924493,0.7392224703334971,0.2419491264846748,0.19899314658059075,0.05867787542296952,0.10669066965256156,0.18989914387905266,-0.29772421630316354,0.4092465515669221,0.4127895871084028,0.4127895871084028,0.05878016072274912
37,0.21289062071360773,0.13658692972232275,0.0,0.7842330969970668,0.0,0.24411590060902114,0.21362555164228508,0.019435964984123685,0.13936978333179967,0.10601809520224642,0.0,0.05442678624658472,0.4751644198315494,0.0,0.060470594705564214,0.7369213617322464,0.25986876205807463,0.1611822200204039,0.07516659755328096,0.10327889126981643,0.1722903625302819,-0.3448867836120141,0.4100177642203213,0.4127298361368303,0.4127298361368303,0.07017038286703829
38,0.21528464665338423,0.1375697118705151,0.0,0.8424623284568211,0.04359999475816123,0.24448281514966735,0.2107870894123982,0.04392345625544909,0.14475414332845657,0.11620053807646162,0.0,0.06178697207187462,0.5175017958841529,-0.015542627756337335,0.056279017212260585,0.7358301130825813,0.2589301659605149,0.16200677163426253,0.08780863137742682,0.10469707109767665,0.1701694267087155,-0.39588344571614903,0.4122217835755289,0.4138007871648722,0.4138007871648722,0.08376776400682924
39,0.22509876124600983,0.14255654900046294,0.0,0.8914698788315681,0.08024289741333027,0.23602523586115126,0.21867770561654648,0.0807251994205412,0.15074432097540075,0.12027861796161153,0.0,0.05165388739974627,0.5531752019883301,-0.03753197945188922,0.0584928391470681,0.7381447205312345,0.2633876000345298,0.1550549072479529,0.09951309189736615,0.10607741560704698,0.17488535262895905,-0.4405261074151416,0.41339199073570465,0.41323369471835464,0.41323369471835464,0.1
